"Posição","Nome","Localidade","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1.1.1","Quantidade produzida","Missão Velha",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Mombaça",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Monsenhor Tabosa",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Morada Nova",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Moraújo",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Morrinhos",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Mucambo",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Mulungu",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Nova Olinda",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Nova Russas",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Novo Oriente",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Ocara",,,,,,,,,,"-","-","-","...","-","milheiros",1
"1.1.1","Quantidade produzida","Orós",,,,,,,,,,"6000","6000","10000","11000","13500","milheiros",1
"1.1.1","Quantidade produzida","Pacajus",,,,,,,,,,"2300","-","-","1000","0","milheiros",1
"1.1.1","Quantidade produzida","Pacatuba",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Pacoti",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Pacujá",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Palhano",,,,,,,,,,"-","-","-","...","-","milheiros",1
"1.1.1","Quantidade produzida","Palmácia",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Paracuru",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Paraipaba",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Parambu",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Paramoti",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Pedra Branca",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Penaforte",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Pentecoste",,,,,,,,,,"16014","3404","1658","1492","1640","milheiros",1
"1.1.1","Quantidade produzida","Pereiro",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Pindoretama",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Piquet Carneiro",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Pires Ferreira",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Poranga",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Porteiras",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Potengi",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Potiretama",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Quiterianópolis",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Quixadá",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Quixelô",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Quixeramobim",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Quixeré",,,,,,,,,,"-","-","-","...","-","milheiros",1
"1.1.1","Quantidade produzida","Redenção",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Reriutaba",,,,,,,,,,"-","-","-","...","-","milheiros",1
"1.1.1","Quantidade produzida","Russas",,,,,,,,,,"-","24735","16594","7745","8674","milheiros",1
"1.1.1","Quantidade produzida","Saboeiro",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Salitre",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Santana do Acaraú",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Santana do Cariri",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Santa Quitéria",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","São Benedito",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","São Gonçalo do Amarante",,,,,,,,,,"-","-","-","...","-","milheiros",1
"1.1.1","Quantidade produzida","São João do Jaguaribe",,,,,,,,,,"-","-","-","...","-","milheiros",1
"1.1.1","Quantidade produzida","São Luís do Curu",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Senador Pompeu",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Senador Sá",,,,,,,,,,"-","-","-","...","-","milheiros",1
"1.1.1","Quantidade produzida","Sobral",,,,,,,,,,"-","2890","568","1","1000","milheiros",1
"1.1.1","Quantidade produzida","Solonópole",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Tabuleiro do Norte",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Tamboril",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Tarrafas",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Tauá",,,,,,,,,,"-","-","-","...","-","milheiros",1
"1.1.1","Quantidade produzida","Tejuçuoca",,,,,,,,,,"-","-","-","...","-","milheiros",1
"1.1.1","Quantidade produzida","Tianguá",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Trairi",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Tururu",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Ubajara",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Umari",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Umirim",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Uruburetama",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Uruoca",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Varjota",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Várzea Alegre",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Viçosa do Ceará",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.2","Valor da produção","Abaiara",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Acarape",,,,,,,,,,"-","-","-","1296.000","1520.640","R$",1000
"1.1.2","Valor da produção","Acaraú",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Acopiara",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Aiuaba",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Alcântaras",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Altaneira",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Alto Santo",,,,,,,,,,"1310","471","734","312.480","223.560","R$",1000
"1.1.2","Valor da produção","Amontada",,,,,,,,,,"-","-","1440","2000.000","3360.000","R$",1000
"1.1.2","Valor da produção","Antonina do Norte",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Apuiarés",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Aquiraz",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Aracati",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Aracoiaba",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Ararendá",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Araripe",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Aratuba",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Arneiroz",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Assaré",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Aurora",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Baixio",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Banabuiú",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Barbalha",,,,,,,,,,"17","14","20","19.035","19.456","R$",1000
"1.1.2","Valor da produção","Barreira",,,,,,,,,,"-","-","-","...","-","R$",1000
"1.1.2","Valor da produção","Barro",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Barroquinha",,,,,,,,,,"-","-","-","-","-","R$",1000
