"Posição","Nome","Localidade","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1.1","Quantidade produzida","Maracanaú","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Maranguape","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Marco","144","99999999999992","756","2520","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Martinópole","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Massapê","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Mauriti","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Meruoca","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Milagres","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Milhã","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Miraíma","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Missão Velha","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Mombaça","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Monsenhor Tabosa","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Morada Nova","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Moraújo","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Morrinhos","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Mucambo","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Mulungu","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Nova Olinda","9","50","140","200","320","400","342","400","200","500","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Nova Russas","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Novo Oriente","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Ocara","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Orós","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Pacajus","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Pacatuba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Pacoti","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Pacujá","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Palhano","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Palmácia","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Paracuru","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Paraipaba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Parambu","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Paramoti","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Pedra Branca","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Penaforte","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Pentecoste","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Pereiro","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Pindoretama","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Piquet Carneiro","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Pires Ferreira","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Poranga","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Porteiras","99999999999992","99999999999992","-","-","-","-","-","456","432","444","240","96","78","75","frutos",1000
"1.1","Quantidade produzida","Potengi","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Potiretama","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Quiterianópolis","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Quixadá","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Quixelô","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Quixeramobim","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Quixeré","99999999999992","99999999999992","-","-","-","-","600","58","56","54","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Redenção","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Reriutaba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Russas","99999999999992","99999999999992","-","-","137","135","135","338","339","340","338","1696","1932","-","frutos",1000
"1.1","Quantidade produzida","Saboeiro","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
