"Posição","Nome","Localidade","2017-preliminar","Unidade","Multiplicador"
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Ipaporanga","21595.013","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Ipaumirim","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Ipu","2224.607","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Ipueiras","24952.284","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Iracema","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Irauçuba","10836.000","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Itaiçaba","2488.124","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Itaitinga","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Itapajé","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Itapipoca","17566.096","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Itapiúna","3595.741","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Itarema","901.940","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Itatira","8843.331","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Jaguaretama","2219.900","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Jaguaribara","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Jaguaribe","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Jaguaruana","7680.256","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Jardim","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Jati","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Jijoca de Jericoacoara","272.497","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Juazeiro do Norte","255.432","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Jucás","668.960","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Lavras da Mangabeira","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Limoeiro do Norte","5205.431","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Madalena","12389.594","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Maracanaú","92.793","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Maranguape","9663.837","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Marco","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Martinópole","679.778","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Massapê","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Mauriti","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Meruoca","2533.228","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Milagres","6801.577","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Milhã","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Miraíma","5277.050","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Missão Velha","2974.158","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Mombaça","42539.219","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Monsenhor Tabosa","2904.560","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Morada Nova","18371.487","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Moraújo","1901.905","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Morrinhos","2675.377","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Mucambo","1224.081","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Mulungu","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Nova Olinda","1767.976","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Nova Russas","7956.139","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Novo Oriente","19172.090","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Ocara","5523.924","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Orós","7836.147","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Pacajus","4318.284","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Pacatuba","332.511","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Pacoti","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Pacujá","-","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Palhano","454.400","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Palmácia","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Paracuru","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Paraipaba","204.025","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Parambu","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Paramoti","11292.870","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Pedra Branca","18020.460","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Penaforte","2187.210","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Pentecoste","9980.066","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Pereiro","943.893","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Pindoretama","265.715","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Piquet Carneiro","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Pires Ferreira","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Poranga","X","hectares",1
"1.1.1.1","Condomínio, consórcio ou união de pessoas ","Porteiras","X","hectares",1
