"Posição","Nome","Localidade","2007","2008","2009","2010","2011","2012","Unidade","Multiplicador"
"1","Notificações","Tauá","1170","680","377","1592","83","335","",""
"1","Notificações","Tejuçuoca","75","79","3","1","39","22","",""
"1","Notificações","Tianguá","75","20","2","1","27","10","",""
"1","Notificações","Trairi","14","29","9","3","51","34","",""
"1","Notificações","Tururu","2","12","-","4","140","8","",""
"1","Notificações","Ubajara","6","-","2","1","5","3","",""
"1","Notificações","Umari","77","11","1","8","40","10","",""
"1","Notificações","Umirim","16","51","2","3","127","20","",""
"1","Notificações","Uruburetama","25","27","10","3","38","10","",""
"1","Notificações","Uruoca","58","1","1","1","17","90","",""
"1","Notificações","Varjota","75","16","2","21","413","14","",""
"1","Notificações","Várzea Alegre","4","61","14","20","23","19","",""
"1","Notificações","Viçosa do Ceará","18","8","2","7","12","6","",""
"1","Notificações","Amontada","19","13","13","3","64",,"",""
"1","Notificações","Baixio","9","2","1","166","78",,"",""
"1","Notificações","Cariré","9","4","6","-","7",,"",""
"1","Notificações","Catunda","34","150","3","14","217",,"",""
"1","Notificações","Irauçuba","21","21","12","3","106",,"",""
"1","Notificações","Milhã","4","11","-","-","10",,"",""
"1","Notificações","Moraújo","7","1","4","-","68",,"",""
"1","Notificações","Pires Ferreira","4","-","-","-","-",,"",""
"1","Notificações","Potiretama","75","8","1","3","8",,"",""
"1","Notificações","Saboeiro","2","1","-","65","25",,"",""


Fonte: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2012
