"Posição","Nome","Localidade","2005","2006","2008","2009","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1.1","empenhadas","Penaforte",,,,"13319","27156","32531","30748.26168","26476.54984","27208","R$",1000
"1.1","empenhadas","Pentecoste",,,,"37483","57102","58461","67349.76408","74617.62","77568","R$",1000
"1.1","empenhadas","Pereiro",,,,"19390","28416","32087","34020.40268","33534.73358","33926","R$",1000
"1.1","empenhadas","Pindoretama",,,,"20844","29448","40617","37973.10044","48558.91026","50810","R$",1000
"1.1","empenhadas","Piquet Carneiro",,,,"15371","26833","30950","33075.75516","36302.75432","37094","R$",1000
"1.1","empenhadas","Pires Ferreira",,,,"11698","20782","23731","26685.74066","28161.1875","27798","R$",1000
"1.1","empenhadas","Poranga",,,,"14220","24379","28345","25310.43724","29312.69097","32253","R$",1000
"1.1","empenhadas","Porteiras",,,,"20065","27306","35351","36892.60823","9298.21305","37199","R$",1000
"1.1","empenhadas","Potengi",,,,"12470","18859","23684","24160.58847","23954.55375","28826","R$",1000
"1.1","empenhadas","Potiretama",,,,"10719","17242","15483","20685.24106","21963.76407","23358","R$",1000
"1.1","empenhadas","Quiterianópolis",,,,"27338","35250","39363","40050.32011","48985.20349","47607","R$",1000
"1.1","empenhadas","Quixadá",,,,"78077","123984","141140","151854.02706","159946.91231","166205","R$",1000
"1.1","empenhadas","Quixelô",,,,"17687","25532","32394","33574.51989","36964.78017","37345","R$",1000
"1.1","empenhadas","Quixeramobim",,,,"78635","115766","151710","161946.95088","180806.87152","180081","R$",1000
"1.1","empenhadas","Quixeré",,,,"22347","34199","44508","45095.13408","48764.13602","51231","R$",1000
"1.1","empenhadas","Redenção",,,,"30972","47572","53092","59248.64675","60359.60255","60339","R$",1000
"1.1","empenhadas","Reriutaba",,,,"19915","34159","40279","37693.93262","42032.39749","45449","R$",1000
"1.1","empenhadas","Russas",,,,"68011","110883","129902","137930.44162","154040.06101","151800","R$",1000
"1.1","empenhadas","Saboeiro",,,,"21840","34067","41216","37515.21551",,"33403","R$",1000
"1.1","empenhadas","Salitre",,,,"20554","31699","35172","38051.80009","41620.32743","41897","R$",1000
"1.1","empenhadas","Santana do Acaraú",,,,"29997","44382","52026","55135.28962","61613.5112","59825","R$",1000
"1.1","empenhadas","Santana do Cariri",,,,"22561","33162","34563","36750.06431","37860.34563","50533","R$",1000
"1.1","empenhadas","Santa Quitéria",,,,"47757","65318","72464","74358.96195","79970.97671","80916","R$",1000
"1.1","empenhadas","São Benedito",,,,"40956","64878","77708","81274.95167","92556.87625","92516","R$",1000
"1.1","empenhadas","São Gonçalo do Amarante",,,,"67568","114639","188994","239959.34139","245159.75398","219614","R$",1000
"1.1","empenhadas","São João do Jaguaribe",,,,"10867","13764","16423","19139.51301","20785.32429","18662","R$",1000
"1.1","empenhadas","São Luís do Curu",,,,"15281","24853","24948","27311.02641","26838.22732","24687","R$",1000
"1.1","empenhadas","Senador Pompeu",,,,"29551","39333","42213","42719.7954","53877.63321","52551","R$",1000
"1.1","empenhadas","Senador Sá",,,,"9567","16254","16875","17247.62025","16440.25502","21792","R$",1000
