"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","Unidade","Multiplicador"
"1.1","Série revisada","Potiretama",,,,,,,,,,,,"25750","31225","28815","32100","39980.25","43372.90","R$",1000
"1.1","Série revisada","Quiterianópolis",,,,,,,,,,,,"71527","101908","102209","101601","139967.46","124291.31","R$",1000
"1.1","Série revisada","Quixadá",,,,,,,,,,,,"576334","625882","681760","733060","821399.49","893557.23","R$",1000
"1.1","Série revisada","Quixelô",,,,,,,,,,,,"73998","84630","84206","90249","108577.34","107218.33","R$",1000
"1.1","Série revisada","Quixeramobim",,,,,,,,,,,,"456018","526957","552448","603448","712912.97","754877.40","R$",1000
"1.1","Série revisada","Quixeré",,,,,,,,,,,,"129073","190764","284425","490581","496721.19","385948.37","R$",1000
"1.1","Série revisada","Redenção",,,,,,,,,,,,"156859","180162","173558","202153","238894.15","268448.30","R$",1000
"1.1","Série revisada","Reriutaba",,,,,,,,,,,,"88318","105551","107941","120055","133606.99","140149.30","R$",1000
"1.1","Série revisada","Russas",,,,,,,,,,,,"575304","651383","732100","777481","886849.49","903467.84","R$",1000
"1.1","Série revisada","Saboeiro",,,,,,,,,,,,"53390","65115","63519","71996","85658.08","86104.61","R$",1000
"1.1","Série revisada","Salitre",,,,,,,,,,,,"57987","76314","73820","92767","116296.52","99260.49","R$",1000
"1.1","Série revisada","Santana do Acaraú",,,,,,,,,,,,"110543","127596","131518","150334","177992.70","184351.69","R$",1000
"1.1","Série revisada","Santana do Cariri",,,,,,,,,,,,"71494","86005","81924","93678","120440.53","107437.89","R$",1000
"1.1","Série revisada","Santa Quitéria",,,,,,,,,,,,"226303","261952","264124","298641","352189.94","366536.76","R$",1000
"1.1","Série revisada","São Benedito",,,,,,,,,,,,"236891","264248","337385","347902","380825.59","378749.23","R$",1000
"1.1","Série revisada","São Gonçalo do Amarante",,,,,,,,,,,,"517967","592282","462603","822595","1444777.80","1851347.32","R$",1000
"1.1","Série revisada","São João do Jaguaribe",,,,,,,,,,,,"52901","48577","54535","72701","74633.96","81892.96","R$",1000
"1.1","Série revisada","São Luís do Curu",,,,,,,,,,,,"56842","65513","67191","74820","87265.09","90560.50","R$",1000
"1.1","Série revisada","Senador Pompeu",,,,,,,,,,,,"136899","180321","166791","214365","244764.13","253285.50","R$",1000
"1.1","Série revisada","Senador Sá",,,,,,,,,,,,"25138","31118","31173","33356","39501.95","40619.94","R$",1000
"1.1","Série revisada","Sobral",,,,,,,,,,,,"2553785","2671208","2987979","3419143","3830449.48","4080275.96","R$",1000
"1.1","Série revisada","Solonópole",,,,,,,,,,,,"77107","90428","85568","102405","118262.44","135684.77","R$",1000
"1.1","Série revisada","Tabuleiro do Norte",,,,,,,,,,,,"180924","190765","200457","232017","267726.94","266927.43","R$",1000
"1.1","Série revisada","Tamboril",,,,,,,,,,,,"98552","125421","115534","126912","156018.40","164086.00","R$",1000
"1.1","Série revisada","Tarrafas",,,,,,,,,,,,"32251","46285","42572","48193","60885.36","55151.40","R$",1000
"1.1","Série revisada","Tauá",,,,,,,,,,,,"272690","342140","337283","390250","493896.04","497433.66","R$",1000
"1.1","Série revisada","Tejuçuoca",,,,,,,,,,,,"51984","62376","66127","73464","88000.37","98928.66","R$",1000
"1.1","Série revisada","Tianguá",,,,,,,,,,,,"472289","536503","542870","681314","844070.34","867093.58","R$",1000
"1.1","Série revisada","Trairi",,,,,,,,,,,,"263843","310705","377447","511212","601091.04","578173.48","R$",1000
"1.1","Série revisada","Tururu",,,,,,,,,,,,"47858","50988","59380","67906","84224.62","91656.93","R$",1000
"1.1","Série revisada","Ubajara",,,,,,,,,,,,"200408","229047","235889","277485","305765.94","336284.47","R$",1000
"1.1","Série revisada","Umari",,,,,,,,,,,,"27089","31914","31733","36236","41272.15","42832.42","R$",1000
"1.1","Série revisada","Umirim",,,,,,,,,,,,"64479","79713","78132","88297","101983.20","109221.09","R$",1000
"1.1","Série revisada","Uruburetama",,,,,,,,,,,,"185497","198259","233848","229445","267728.04","284164.85","R$",1000
"1.1","Série revisada","Uruoca",,,,,,,,,,,,"47276","55792","59636","66012","94154.78","105789.83","R$",1000
"1.1","Série revisada","Varjota",,,,,,,,,,,,"98790","114770","124891","132942","199368.37","151119.98","R$",1000
"1.1","Série revisada","Várzea Alegre",,,,,,,,,,,,"167745","188456","193159","221877","276656.31","280904.07","R$",1000
"1.1","Série revisada","Viçosa do Ceará",,,,,,,,,,,,"220619","246264","246311","291079","338870.47","330777.16","R$",1000
"1.2","Série retropolada","Abaiara",,,,"14098","17657","16808","17153","22869","25383","30985","34757",,,,,,,"R$",1000
"1.2","Série retropolada","Acarape",,,,"31452","32448","33397","33577","36982","42765","50859","56351",,,,,,,"R$",1000
"1.2","Série retropolada","Acaraú",,,,"101584","124068","146593","151979","171739","190070","225541","239320",,,,,,,"R$",1000
"1.2","Série retropolada","Acopiara",,,,"85309","94074","101418","103497","123962","127767","160679","170027",,,,,,,"R$",1000
"1.2","Série retropolada","Aiuaba",,,,"18080","23473","23256","29550","37163","38449","50232","48215",,,,,,,"R$",1000
"1.2","Série retropolada","Alcântaras",,,,"15089","17349","17539","21533","22937","26489","29317","32916",,,,,,,"R$",1000
"1.2","Série retropolada","Altaneira",,,,"9289","10409","11469","12431","15410","17005","20859","22710",,,,,,,"R$",1000
"1.2","Série retropolada","Alto Santo",,,,"57635","35944","38299","40261","45855","55847","68922","77369",,,,,,,"R$",1000
"1.2","Série retropolada","Amontada",,,,"96929","117176","130447","154484","165374","151945","191631","203450",,,,,,,"R$",1000
"1.2","Série retropolada","Antonina do Norte",,,,"11425","13430","14399","16694","21001","20701","26524","26379",,,,,,,"R$",1000
"1.2","Série retropolada","Apuiarés",,,,"17409","19824","21485","26531","30582","31683","38962","42272",,,,,,,"R$",1000
"1.2","Série retropolada","Aquiraz",,,,"253877","272761","322330","344180","371462","408212","528899","615087",,,,,,,"R$",1000
"1.2","Série retropolada","Aracati",,,,"218042","257054","314128","328460","356955","366286","433185","472207",,,,,,,"R$",1000
"1.2","Série retropolada","Aracoiaba",,,,"42888","47535","50677","56749","64130","67604","84135","93793",,,,,,,"R$",1000
"1.2","Série retropolada","Ararendá",,,,"16655","18525","19619","21276","25096","26012","33394","33554",,,,,,,"R$",1000
"1.2","Série retropolada","Araripe",,,,"30101","39224","39441","46583","54970","59195","73651","82196",,,,,,,"R$",1000
"1.2","Série retropolada","Aratuba",,,,"27788","37429","40735","39869","51170","47805","59396","57495",,,,,,,"R$",1000
"1.2","Série retropolada","Arneiroz",,,,"12708","14498","14949","17458","19318","20264","27325","26239",,,,,,,"R$",1000
"1.2","Série retropolada","Assaré",,,,"33507","42933","41651","45162","57430","58517","76253","98667",,,,,,,"R$",1000
"1.2","Série retropolada","Aurora",,,,"44918","58390","48296","55528","69281","65529","87216","96054",,,,,,,"R$",1000
"1.2","Série retropolada","Baixio",,,,"8798","10945","11094","12655","15127","14155","18901","20187",,,,,,,"R$",1000
"1.2","Série retropolada","Banabuiú",,,,"30985","41671","49200","55965","61723","69121","90156","82968",,,,,,,"R$",1000
"1.2","Série retropolada","Barbalha",,,,"152974","153272","167947","183931","220323","237118","298219","354358",,,,,,,"R$",1000
"1.2","Série retropolada","Barreira",,,,"32965","37869","44009","47932","54394","56517","68675","74751",,,,,,,"R$",1000
"1.2","Série retropolada","Barro",,,,"42701","45046","42057","45160","60953","58577","83269","86129",,,,,,,"R$",1000
"1.2","Série retropolada","Barroquinha",,,,"20954","26472","28907","34042","36515","42149","51555","53624",,,,,,,"R$",1000
"1.2","Série retropolada","Baturité",,,,"68525","82242","95228","100430","117248","120013","137319","150184",,,,,,,"R$",1000
"1.2","Série retropolada","Beberibe",,,,"100828","125301","137688","155496","178174","188294","248523","271699",,,,,,,"R$",1000
"1.2","Série retropolada","Bela Cruz",,,,"39464","46996","49942","57048","65468","69121","83178","91637",,,,,,,"R$",1000
"1.2","Série retropolada","Boa Viagem",,,,"96824","113999","111059","122004","145725","146747","201124","191375",,,,,,,"R$",1000
"1.2","Série retropolada","Brejo Santo",,,,"86476","114158","104019","126149","147759","154764","183812","201456",,,,,,,"R$",1000
"1.2","Série retropolada","Camocim",,,,"121862","154432","185335","199006","204821","232357","257645","278019",,,,,,,"R$",1000
"1.2","Série retropolada","Campos Sales",,,,"49422","46709","57215","63716","74543","76450","93158","102335",,,,,,,"R$",1000
"1.2","Série retropolada","Canindé",,,,"151865","166701","182103","199084","228607","236989","321382","301376",,,,,,,"R$",1000
"1.2","Série retropolada","Capistrano",,,,"25671","34175","33171","38577","48350","46163","58144","59423",,,,,,,"R$",1000
"1.2","Série retropolada","Caridade",,,,"41010","36214","35122","34390","41896","43372","60223","59584",,,,,,,"R$",1000
"1.2","Série retropolada","Cariré",,,,"27803","38807","35760","39303","45401","48583","58490","62550",,,,,,,"R$",1000
"1.2","Série retropolada","Caririaçu",,,,"41408","51641","51675","51720","62799","64501","82488","93436",,,,,,,"R$",1000
"1.2","Série retropolada","Cariús",,,,"26154","32253","34809","35490","40323","44143","52930","58150",,,,,,,"R$",1000
"1.2","Série retropolada","Carnaubal",,,,"21481","25762","29397","34385","39827","39612","50434","56951",,,,,,,"R$",1000
"1.2","Série retropolada","Cascavel",,,,"240928","262871","345338","353426","308125","301473","393873","402209",,,,,,,"R$",1000
"1.2","Série retropolada","Catarina",,,,"20361","23375","26817","30714","35209","36232","46135","48392",,,,,,,"R$",1000
"1.2","Série retropolada","Catunda",,,,"16244","18541","17360","20320","27772","25846","36723","36093",,,,,,,"R$",1000
"1.2","Série retropolada","Caucaia",,,,"836958","973170","1113780","1232377","1532514","1751050","2102938","2301594",,,,,,,"R$",1000
"1.2","Série retropolada","Cedro",,,,"38038","47692","50460","54519","64685","65914","80659","92416",,,,,,,"R$",1000
"1.2","Série retropolada","Chaval",,,,"16785","19876","22318","27311","29811","30700","39200","43639",,,,,,,"R$",1000
"1.2","Série retropolada","Choró",,,,"22023","23353","22615","26001","28150","30095","38168","43919",,,,,,,"R$",1000
"1.2","Série retropolada","Chorozinho",,,,"35176","39225","43292","47036","52801","55968","64536","71661",,,,,,,"R$",1000
"1.2","Série retropolada","Coreaú",,,,"28731","34269","35553","48156","47440","50466","64111","72543",,,,,,,"R$",1000
"1.2","Série retropolada","Crateús",,,,"151776","193228","209551","233677","281748","279728","309116","337990",,,,,,,"R$",1000
"1.2","Série retropolada","Crato",,,,"376323","428253","466405","504322","565309","606692","723083","817764",,,,,,,"R$",1000
