"Nome","Localidade","2008","2009","2010","2011","2012","2013","2014","Unidade","Multiplicador"
"Taxa de mortalidade infantil","Jardim","16.19","7.78","20.41","22","16.24","13.25","25.11","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Jati","29.7","30.61","64.22","22.56","0","0","25.42","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Jijoca de Jericoacoara","15.24","4","0","27.03","0","17.24","6.92","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Juazeiro do Norte","12.96","12.7","13.57","20.15","14.37","21.77","12.02","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Jucás","7.32","18.67","5.33","21.62","17.8","18.63","2.75","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Lavras da Mangabeira","7.85","21.05","9.69","11.27","6.27","12.08","17.7","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Limoeiro do Norte","11.89","8.82","9.04","18.27","11.75","14.01","14.55","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Madalena","12.93","0","12.88","20.24","8.06","19.51","20.51","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Maracanaú","12.65","9.86","8.78","8.24","7.05","10.21","9.39","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Maranguape","13.14","18.44","8.29","11.17","12.35","10.72","14.07","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Marco","24","7.75","10.12","13.94","11.93","3.88","22.27","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Martinópole","19.61","7.19","5.75","36.81","28.74","30.86","17.86","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Massapê","13.28","17.76","20","15.47","13.94","16.48","5.78","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Mauriti","20.33","12.43","17.2","12.71","20.86","17.7","18.21","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Meruoca","9.43","0","23.47","23.81","30","27.91","5.29","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Milagres","12.77","4.45","20.5","17.16","16.87","12.14","12.56","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Milhã","18.4","5.62","25.32","6.37","20","23.08","8.26","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Miraíma","8.73","24.9","0","4.72","18.69","35.9","15.15","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Missão Velha","18.05","24.79","20.47","17.3","24.22","18.58","10.58","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Mombaça","28.71","17.52","14.75","12.7","8.66","15.22","8.26","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Monsenhor Tabosa","20.08","16.46","30.65","14.22","8.62","14.78","0","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Morada Nova","7.03","15.64","11.63","11.44","1.44","13.12","8.39","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Moraújo","22.56","35.4","17.86","9.8","23.62","25.42","15.75","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Morrinhos","26.18","11.87","19.34","36.23","25.4","15.72","10.56","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Mucambo","21.93","9.09","21.98","0","0","11.43","18.07","óbitos por mil nascidos vivos",1
