codigo,A�ude,Munic�pio,Cap(m�),Sangria,CESC,CIA,CA,VEC,VIA,VA,VEC(%),V.Inicio(%),V.Atual(%),,,,
30,EMA,Iracema,10/07/2013,10.39,23.50,19.18,18.97,19.24,-38.3449743134,-5.77632884496,2.79,2.55,2.87,88,26.89,24.57,27.58
171,JENIPAPEIRO,Dep. Irapuan Pinheiro,10/07/2013,17.00,98.50,93.90,94.24,93.83,-39.2474835705,-5.81315115414,5.8,6.19,5.72,20,34.1,36.41,33.62
28,JOAQUIM TÁVORA,Jaguaribe,08/07/2013,26.77,114.45,113.02,112.14,113.25,-38.8304650715,-5.94905457118,19.76,15.87,20.78,8,73.83,59.28,77.63
164,MADEIRO,Pereiro,09/07/2013,2.81,93.00,82.88,83.55,83.80,-38.553137,-6.189098,0.07,0.11,0.13,7,2.32,3.86,4.48
26,NOVA FLORESTA,Jaguaribe,11/07/2013,5.19,111.00,108.22,107.96,108.16,-38.907803,-5.949263,2.28,2.07,2.23,6,44.02,39.86,43.05
82,POTIRETAMA,Potiretama,11/07/2013,6.33,99.00,92.19,93.00,92.54,-38.1681776,-5.7228775,0.42,0.65,0.52,10,6.69,10.27,8.23
186,RIACHO DA SERRA,Alto Santo,11/07/2013,23.47,88.00,83.71,82.30,83.83,-38.325225,-5.562632,9.7,6.67,9.96,N.I.,41.32,28.43,42.42
17,RIACHO DO SANGUE,Solonópole,10/07/2013,61.42,118.00,112.65,112.82,112.49,-38.9506399185,-5.69373683323,22.72,23.67,21.82,300,36.99,38.54,35.52
166,SANTA MARIA,Ererê,10/07/2013,5.87,99.00,94.26,94.55,94.26,-38.276387,-5.965648,0.36,0.47,0.36,0,6.16,8.08,6.16
233,SANTO ANTÔNIO,Iracema,10/07/2013,0.83,54.50,50.96,51.32,51.04,-38.370149,-5.898912,0.25,0.29,0.26,2,29.64,35.13,30.75
111,TIGRE,Solonópole,10/07/2013,3.51,100.00,94.73,94.34,94.66,-39.15382,-5.889177,1.07,0.96,1.05,27,30.53,27.31,29.95
78,ACARAPE DO MEIO,Redenção,11/07/2013,31.50,130.02,118.63,118.32,119.47,-38.7993848299,-4.19354599542,7.99,7.58,9.19,1100,25.38,24.06,29.18
45,AMANARY,Maranguape,02/07/2013,11.01,96.00,90.78,91.14,90.79,-38.8837233213,-4.01262168678,1.36,1.63,1.37,10,12.37,14.79,12.42
234,ARACOIABA,Aracoiaba,11/07/2013,170.70,95.00,86.90,87.00,87.08,-38.6957249782,-4.40220028355,65.55,66.51,67.28,300,38.4,38.96,39.42
173,BATENTE,Ocara,10/07/2013,33.51,71.86,69.15,69.17,69.00,-38.48875,-4.651008,18.1,18.21,17.28,N.I.,54.02,54.35,51.57
97,CASTRO,Itapiúna,11/07/2013,63.90,151.50,142.70,143.60,142.56,-38.932369564,-4.56489990367,15.73,18.36,15.32,50,24.61,28.73,23.97
223,CATUCINZENTA,Aquiraz,11/07/2013,27.13,45.00,40.88,41.75,40.69,-38.4369544335,-4.02183311314,9.61,12.38,9.11,50,35.43,45.64,33.58
158,CAUHIPE,Caucaia,10/07/2013,12.00,36.89,33.95,34.17,33.83,-38.8683396159,-3.73934463276,3.96,4.36,3.76,0,32.98,36.34,31.34
95,GAVIÃO,Pacatuba,11/07/2013,33.30,36.00,35.68,35.64,35.62,-38.5553424021,-3.9059618445,31.25,31,30.87,8200,93.85,93.09,92.7
244,ITAPEBUSSU,Maranguape,11/07/2013,6.30,115.50,111.89,111.83,111.85,-38.903176,-4.059148,1.83,1.78,1.8,20,29.03,28.32,28.56
199,MACACOS,Ibaretama,11/07/2013,10.32,120.00,116.15,116.66,116.11,-38.709306,-4.799747,4.99,5.59,4.95,0,48.39,54.12,47.94
235,MALCOZINHADO,Cascavel,11/07/2013,37.84,24.00,20.79,20.96,20.84,-38.2890791497,-4.10582877875,18.96,19.75,19.19,50,50.1,52.2,50.72
80,PACAJUS,Pacajus,11/07/2013,240.00,38.00,32.67,32.41,32.96,-38.3838534079,-4.22225681679,84,78.14,90.54,400,35,32.56,37.72
88,PACOTI,Horizonte,11/07/2013,380.00,45.00,38.20,37.70,38.26,-38.5333114066,-4.03602241472,134.53,122.54,136.07,150,35.4,32.25,35.81
179,PENEDO,Maranguape,10/07/2013,2.41,998.00,989.66,,989.84,-38.744555,-3.970682,0.06,0,0.07,0,2.61,0,2.99
192,PESQUEIRO,Capistrano,11/07/2013,9.03,196.50,189.03,,189.28,-38.961082,-4.444447,2.09,0,2.22,50,23.1,0,24.54
13,POMPEU SOBRINHO,Choró,11/07/2013,143.00,218.50,208.59,209.24,208.52,-39.1409573634,-4.83834625589,23.5,27.43,23.11,120,16.43,19.18,16.16
117,RIACHÃO,Itaitinga,11/07/2013,46.95,45.00,38.20,37.70,38.26,-38.5231717263,-4.00099902774,18.46,16.88,18.67,0,39.32,35.95,39.76
159,SITIOS NOVOS,Caucaia,10/07/2013,126.00,45.15,40.47,41.44,40.14,-38.9597828672,-3.77127334573,51.54,63.66,47.68,250,40.9,50.53,37.84
132,TIJUQUINHA,Baturité,10/07/2013,0.97,364.36,364.35,,364.35,-38.894027,-4.317856,1.01,0,0.97,0,104.51,0,100
47,ATALHO,Brejo Santo,08/07/2013,108.25,425.00,407.87,408.63,407.30,-38.8936496392,-7.64167852936,24.57,26.58,23.05,200,22.69,24.56,21.3
170,CACHOEIRA,Aurora,10/07/2013,34.33,305.00,299.94,300.80,299.67,-39.102801,-7.020179,15.14,18.35,14.36,40,44.09,53.46,41.83
36,GOMES,Mauriti,11/07/2013,2.39,425.00,422.46,,421.85,-38.73024,-7.481016,1.8,0,1.65,0,75.13,0,69.16
1120,JENIPAPEIRO II,Baixio,11/07/2013,43.44,260.00,251.59,250.14,251.46,-38.755099,-6.672764,4.27,2.01,4.02,0,9.83,4.63,9.25
189,JUNCO,Granjeiro,09/07/2013,2.03,292.92,291.01,291.30,290.81,-39.215687,-6.892186,1.08,1.2,0.99,0,52.97,59.25,48.87
63,LIMA CAMPOS,Icó,11/07/2013,66.38,175.50,173.99,173.18,173.77,-39.059782,-6.417186,44.71,35.79,42.29,0,67.35,53.92,63.71
8,MANOEL BALBINO,Juazeiro do Norte,09/07/2013,37.18,427.00,417.12,416.38,417.03,-39.3292996457,-7.10729145731,8.74,7.63,8.59,0,23.51,20.53,23.11
155,OLHO DÁGUA,Várzea Alegre,11/07/2013,21.00,350.00,344.77,346.08,344.32,-39.3753014774,-6.78888346631,12.05,14.06,11.39,0,57.39,66.94,54.24
14,PRAZERES,Barro,10/07/2013,32.50,98.00,89.01,89.81,88.59,-38.6829425533,-7.10901972051,15.93,16.96,15.39,40,49.01,52.17,47.35
15,QUIXABINHA,Mauriti,11/07/2013,31.78,418.00,400.98,395.88,400.63,-38.7467451612,-7.50191740289,4.84,1.62,4.5,0,15.23,5.11,14.16
