Nome,regiao,id
Jaguaribara,Vale do Jaguaribe,"2306801"
Tabuleiro do Norte,Vale do Jaguaribe,"2313104"
Acopiara,Centro Sul,"2300309"
Saboeiro,Centro Sul,"2311900"
Pacoti,Maciço de Baturité,"2309805"
Quixeramobim,Sertão Central,"2311405"
Cariré,Sertão de Sobral,"2303105"
Alto Santo,Vale do Jaguaribe,"2300705"
Barro,Cariri,"2302008"
Itaiçaba,Litoral Leste,"2306207"
Barroquinha,Litoral Norte,"2302057"
Crato,Cariri,"2304202"
Moraújo,Sertão de Sobral,"2308807"
Itapiúna,Maciço de Baturité,"2306504"
Limoeiro do Norte,Vale do Jaguaribe,"2307601"
Catunda,Sertão dos Crateús,"2303659"
Chorozinho,Grande Fortaleza,"2303956"
Madalena,Sertão de Canindé,"2307635"
Acaraú,Litoral Norte,"2300200"
Várzea Alegre,Cariri,"2314003"
Jardim,Cariri,"2307106"
Alcântaras,Sertão de Sobral,"2300507"
Pacajus,Grande Fortaleza,"2309607"
Ararendá,Sertão dos Crateús,"2301257"
Paraipaba,Grande Fortaleza,"2310258"
Itapajé,Litoral Oeste,"2306306"
Mulungu,Maciço de Baturité,"2309102"
Varjota,Sertão de Sobral,"2313955"
Porteiras,Cariri,"2311108"
Jaguaribe,Vale do Jaguaribe,"2306900"
Cruz,Litoral Norte,"2304251"
Quixeré,Vale do Jaguaribe,"2311504"
Fortim,Litoral Leste,"2304459"
Ibicuitinga,Sertão Central,"2305332"
Reriutaba,Sertão de Sobral,"2311702"
Aratuba,Maciço de Baturité,"2301406"
Capistrano,Maciço de Baturité,"2302909"
Penaforte,Cariri,"2310605"
Boa Viagem,Sertão de Canindé,"2302404"
Antonina do Norte,Cariri,"2300804"
Tejuçuoca,Litoral Oeste,"2313351"
Jucás,Centro Sul,"2307403"
Arneiroz,Sertão dos Inhamuns,"2301505"
Cedro,Centro Sul,"2303808"
Barbalha,Cariri,"2301901"
Ipu,Serra da Ibiapaba,"2305803"
Cascavel,Grande Fortaleza,"2303501"
Assaré,Cariri,"2301604"
Guaramiranga,Maciço de Baturité,"2305100"
Tianguá,Serra da Ibiapaba,"2313401"
Parambu,Sertão dos Inhamuns,"2310308"
Baturité,Maciço de Baturité,"2302107"
Icapuí,Litoral Leste,"2305357"
Ipaumirim,Centro Sul,"2305704"
Aquiraz,Grande Fortaleza,"2301000"
Hidrolândia,Sertão dos Crateús,"2305209"
Camocim,Litoral Norte,"2302602"
Pentecoste,Litoral Oeste,"2310704"
Miraíma,Litoral Oeste,"2308377"
Tamboril,Sertão dos Crateús,"2313203"
Deputado Irapuan Pin,Sertão Central,"2304269"
Morrinhos,Litoral Norte,"2308906"
Itarema,Litoral Norte,"2306553"
Jijoca de Jericoacoa,Litoral Norte,"2307254"
Senador Pompeu,Sertão Central,"2312700"
Novo Oriente,Sertão dos Crateús,"2309409"
Forquilha,Sertão de Sobral,"2304350"
Uruburetama,Litoral Oeste,"2313807"
Ipueiras,Sertão dos Crateús,"2305902"
Milagres,Cariri,"2308302"
Ibiapina,Serra da Ibiapaba,"2305308"
Araripe,Cariri,"2301307"
Solonópole,Sertão Central,"2313005"
Trairi,Grande Fortaleza,"2313500"
Eusébio,Grande Fortaleza,"2304285"
Santana do Acaraú,Sertão de Sobral,"2312007"
Milhã,Sertão Central,"2308351"
Itatira,Sertão de Canindé,"2306603"
Mauriti,Cariri,"2308104"
Jaguaretama,Vale do Jaguaribe,"2306702"
Fortaleza,Grande Fortaleza,"2304400"
Russas,Vale do Jaguaribe,"2311801"
Sobral,Sertão de Sobral,"2312908"
Aiuaba,Sertão dos Inhamuns,"2300408"
Independência,Sertão dos Crateús,"2305605"
Ibaretama,Sertão Central,"2305266"
Apuiarés,Litoral Oeste,"2300903"
Juazeiro do Norte,Cariri,"2307304"
Coreaú,Sertão de Sobral,"2304004"
Uruoca,Litoral Norte,"2313906"
Santa Quitéria,Sertão dos Crateús,"2312205"
Iguatu,Centro Sul,"2305506"
Canindé,Sertão de Canindé,"2302800"
Pindoretama,Grande Fortaleza,"2310852"
Caucaia,Grande Fortaleza,"2303709"
Redenção,Maciço de Baturité,"2311603"
Umari,Centro Sul,"2313708"
