Código,Espacialidades,IDHM Renda 1991,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 1991,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 1991,IDHM Educação 2000,IDHM Educação 2010,Renda per capita 1991,Renda per capita 2000,Renda per capita 2010,% de extremamente pobres 1991,% de extremamente pobres 2000,% de extremamente pobres 2010,% de pobres 1991,% de pobres 2000,% de pobres 2010,% de vulneráveis à pobreza 1991,% de vulneráveis à pobreza 2000,% de vulneráveis à pobreza 2010,% de crianças extremamente pobres 1991,% de crianças extremamente pobres 2000,% de crianças extremamente pobres 2010,% de crianças pobres 1991,% de crianças pobres 2000,% de crianças pobres 2010,% de crianças vulneráveis à pobreza 1991,% de crianças vulneráveis à pobreza 2000,% de crianças vulneráveis à pobreza 2010,Renda per capita dos extremamente pobres 1991,Renda per capita dos extremamente pobres 2000,Renda per capita dos extremamente pobres 2010,Renda per capita dos pobres 1991,Renda per capita dos pobres 2000,Renda per capita dos pobres 2010,Renda per capita dos vulneráveis à pobreza 1991,Renda per capita dos vulneráveis à pobreza 2000,Renda per capita dos vulneráveis à pobreza 2010
2310852,Pindoretama,0.447,0.522,0.581,0.588,0.687,0.754,0.122,0.334,0.588,128.81,205.36,296.99,35.82,31.58,11.67,75.03,63.33,30.09,91.05,82.73,60.66,51.21,42.7,17.74,86.11,75.97,43.9,94.53,90.52,77.01,45.82,40.01,35.97,74.84,69.31,80.56,94.01,96.17,139.92
2310902,Piquet Carneiro,0.399,0.462,0.53,0.593,0.684,0.779,0.105,0.247,0.523,95.53,141.99,217.02,58.83,45,29.58,84.43,67.53,48.21,93.47,84.16,70.66,67.32,60.91,44.88,90.86,82.69,66.47,95.73,93.36,87.34,36.03,17.05,30.39,53.94,44.31,58.04,65.88,71.16,101.41
2310951,Pires Ferreira,0.368,0.446,0.51,0.548,0.675,0.769,0.069,0.201,0.526,79,128.37,191.39,65.19,46.04,33.14,89.33,73.57,52.34,96.97,89.87,78.85,77.35,58.89,45.11,94.76,85.99,68.9,99.17,95.45,91.18,38.96,29.94,36.41,54.48,57.14,60.53,64.63,80.25,107.06
2311009,Poranga,0.368,0.44,0.527,0.548,0.675,0.746,0.039,0.217,0.5,79.04,123.9,212.87,67.95,56.73,32.89,86.85,74.2,53,94.51,87.77,73.31,77.36,70.9,46.26,91.98,85.38,69.66,97.31,94.58,85.92,31.11,22.68,32.4,44.77,40.06,60.1,56.52,61.15,99.11
2311108,Porteiras,0.416,0.489,0.531,0.583,0.712,0.765,0.107,0.312,0.592,106.62,167.91,218.44,59.98,37.43,24.96,82.41,64.33,47.62,91.82,84.64,74.42,73.22,51.24,35.75,88.21,78.27,65.46,93.33,91.23,90.34,37.32,38.82,38.85,53.02,64.56,69.62,65.53,93.31,115.58
2311207,Potengi,0.398,0.475,0.529,0.605,0.692,0.759,0.117,0.189,0.441,94.92,153.86,215.12,70.64,41.06,33.2,86.15,63.52,53.53,93.24,84.9,76.22,80.76,53.96,47.22,89.52,76.94,71.19,95.39,93.69,88.93,34.76,35.64,29.77,46.43,57.01,57.29,56.58,88.89,99.28
2311231,Potiretama,0.381,0.456,0.544,0.61,0.689,0.754,0.068,0.245,0.538,85.71,136.46,236.09,64.58,46.98,23.51,86.13,70.23,43.54,94.12,85.52,66.34,76,58.56,34.94,91.3,78.05,59.99,96.37,89.73,82.84,35.53,25.78,33.81,50.96,50.17,66.92,61.54,74.73,110.41
2311264,Quiterianópolis,0.301,0.462,0.524,0.594,0.732,0.774,0.077,0.197,0.518,52.13,141.41,208.58,81.75,43.38,33.36,94.26,65.53,49.89,98.48,85.36,74.2,88.78,58.79,44.43,97.19,80.19,63.78,99.34,93.32,85.63,31.39,36.36,28.84,39.54,58.51,53.39,45.48,88.38,101.16
2311306,Quixadá,0.484,0.518,0.592,0.611,0.743,0.775,0.19,0.374,0.624,162.21,200.88,317.66,44.75,33.14,17.65,71.51,58.07,36.21,86.98,78.62,62.51,56.5,45.99,26.97,80.34,72.13,53.47,90.34,86.73,79.2,40.09,31.56,34.82,61.65,61.05,70.86,83.69,94.04,125.06
2311355,Quixelô,0.442,0.449,0.548,0.579,0.7,0.725,0.067,0.157,0.52,124.91,130.9,242.27,45.86,46.77,27.44,76.85,69.63,45.02,91.34,87.36,67.54,51.83,62.52,42.38,82.87,82.53,64.84,94.65,93.45,83.53,41.58,23.72,36.08,63.44,48.39,63.86,82.33,74.63,110.13
2311405,Quixeramobim,0.464,0.492,0.592,0.627,0.701,0.789,0.155,0.325,0.567,143.96,170.44,317.45,52.98,37.99,19.57,82.06,62.46,38.37,94.35,81.68,63.18,63.87,53.13,28.21,88,77.39,53.21,96.65,90.3,79.29,37.64,27.58,36,58.82,55.43,69.85,74.76,85.38,120.5
2311504,Quixeré,0.443,0.484,0.56,0.638,0.727,0.774,0.127,0.305,0.556,126.36,162.84,260.79,39.99,32.28,13.93,72.87,62.63,34.25,92.41,83.24,64.03,53.08,44.58,20.64,80.69,77.69,51.58,94.87,91.59,80.63,42.06,40.21,36.37,67.79,68.75,77.94,92,97.21,132.38
2311603,Redenção,0.425,0.47,0.567,0.597,0.702,0.75,0.168,0.331,0.577,112.29,149.24,273.08,42.42,32.45,19.99,76.58,65.02,38.32,93.54,85.02,62.93,57.09,42.73,29.25,87.26,76.25,55.59,96.62,91.03,79.45,39.92,30.95,37.29,65.29,63.36,70.16,85.44,91.43,118.1
2311702,Reriutaba,0.423,0.471,0.56,0.63,0.725,0.761,0.099,0.274,0.509,111.55,149.88,260.65,52.95,37.93,29.29,81.08,67.09,50.02,92.16,87.57,71.72,66.72,53.11,42.04,88.83,79.93,67.62,94.34,93.39,87.23,39.51,36.9,32.47,58.56,63.64,62.08,73.72,92.16,102.88
2311801,Russas,0.504,0.533,0.617,0.641,0.76,0.791,0.195,0.361,0.626,184.64,219.91,372.43,33.57,21.72,7.55,65.12,48.76,22.09,85.63,75.72,50.17,44.51,31.03,12.4,74.11,63.14,36.21,89.47,85.03,68.32,42.34,37.33,37.15,70.29,70.92,84.89,97.66,112.08,148.63
2311900,Saboeiro,0.353,0.417,0.533,0.493,0.616,0.715,0.064,0.203,0.499,72.1,107.25,220.94,76.16,60.95,31.8,91.58,78.88,50.76,97.88,90.78,72.71,87.09,74.89,43.71,94.93,89.79,67.76,98.51,95.81,86.91,30.78,21.84,34.63,41.19,38.46,60.46,49.99,57.14,102.47
2311959,Salitre,0.328,0.422,0.497,0.559,0.648,0.732,0.037,0.127,0.434,61.77,110.64,176.75,72,50.42,30.94,93.66,74.65,53.46,98.12,91.21,78.59,80.06,63.13,40.75,95.96,86.5,68.14,99.13,96.25,89.92,34.29,33.84,33.42,48.42,54.7,62.38,54.52,78,104.08
2312007,Santana do Acaraú,0.419,0.477,0.536,0.54,0.682,0.755,0.137,0.246,0.5,108.78,156.15,224.83,45.33,51.81,39.1,77.98,73.59,59.47,94.31,88.12,79.57,60.29,66.54,50.5,88.02,87.13,74.05,96.71,94.76,88.88,43.98,29.3,26.27,66.78,51.26,53.08,87.1,72.34,89.17
2312106,Santana do Cariri,0.406,0.43,0.527,0.583,0.693,0.779,0.116,0.256,0.557,100.25,116.03,212.7,60.16,51.12,33.68,82.48,74.43,56.11,94.44,89.89,74.39,72.43,66.54,46.29,89.29,88.49,72.61,96.8,96.49,88.72,38.33,21.24,35.41,53.82,44.47,62.21,69.91,67.27,94.49
2312205,Santa Quitéria,0.384,0.482,0.546,0.579,0.712,0.775,0.1,0.234,0.553,87.41,160.84,238.84,68.12,44.48,30.69,87.6,67.23,48.79,95.1,85.75,71.68,77.13,56.93,42.57,92.39,80.6,64.03,96.9,92.61,85.45,32.75,25.61,32.09,46.67,50.78,59.94,56.96,79.04,103.1
2312304,São Benedito,0.411,0.499,0.562,0.547,0.649,0.764,0.107,0.251,0.531,102.94,178.54,263.94,59.18,40.75,19.29,81.57,67.34,42.61,92.78,85.37,68.21,69.58,53.79,27.44,89.42,80.73,59.12,95.46,91.6,82.75,36.21,33.79,42.13,52.38,59.32,75.74,68.24,85.49,119.12
2312403,São Gonçalo do Amarante,0.435,0.484,0.587,0.556,0.673,0.775,0.142,0.297,0.646,119.92,162.82,309.14,43.98,35.09,15.32,75.83,62.84,33.04,92.8,85.88,60.4,55.63,44.5,20.28,84.23,74.56,44.72,95.91,92.22,74.88,40.34,35.63,32.95,64.26,64.61,73.74,85.58,96.34,127.96
2312502,São João do Jaguaribe,0.464,0.533,0.62,0.638,0.765,0.784,0.215,0.351,0.576,143.71,220.84,378.76,33.42,27.13,14.25,69.25,52.25,27.57,88.08,77.2,48.56,42.09,36.85,25.94,77.89,65.87,47.04,92.02,87.7,73.44,42.14,37.65,40.11,71.2,66.93,69.09,95.98,106.15,122.82
2312601,São Luís do Curu,0.478,0.519,0.558,0.548,0.649,0.719,0.186,0.385,0.593,156.4,201.74,257.9,36.6,30.93,22.07,67.95,64.83,42.2,88.3,84.38,66.88,49.87,43.18,28.32,78.93,79.64,57,93.02,91.75,80.03,45.05,35.47,37.63,68.88,67.68,69.71,96.42,95.75,115.93
2312700,Senador Pompeu,0.485,0.521,0.574,0.532,0.647,0.77,0.198,0.342,0.537,163.83,204.25,283.8,50.82,34.91,21.06,77.93,57.44,37.35,90.42,79.13,63.31,65.12,50.94,32.03,87.73,75.01,55.94,94.14,90.94,81.61,40.6,33.21,31.88,60.75,59.66,63.13,77.14,92.59,119.82
2312809,Senador Sá,0.391,0.383,0.528,0.598,0.697,0.735,0.066,0.2,0.565,91.31,86.97,214.23,48.14,56.25,30.99,82.85,77.64,50.98,96.68,91.76,72.41,60.96,70.86,44.36,90.34,89.67,67.39,98.49,97.79,85.79,42.66,21.27,38.14,65.99,40.17,64.06,82.43,61.97,104.7
2312908,Sobral,0.516,0.582,0.647,0.594,0.722,0.832,0.218,0.369,0.675,198.63,299.41,448.89,35.83,21.79,8.9,65.68,49.43,25.2,82.79,73.65,51.76,45.75,30.7,13.46,74.65,62.48,37.99,87.67,82.98,66.9,43.47,38.97,36.31,69.71,73.46,84.01,92.93,110.57,143.82
2313005,Solonópole,0.405,0.485,0.565,0.586,0.684,0.754,0.124,0.282,0.574,99.38,163.36,269.25,60.1,34.99,22.85,85.55,62.14,40.69,94.16,83.16,65.5,69.36,48.88,34.67,91.03,77.9,58.95,95.97,91.86,83.63,35.32,40.89,37.14,53.04,68.02,67,65.11,98.37,118.04
2313104,Tabuleiro do Norte,0.501,0.549,0.62,0.638,0.76,0.791,0.148,0.341,0.547,180.2,243.29,379.75,31.06,25.64,15.35,65.48,48.92,30.02,84.88,73.34,51.46,43.25,39.57,23.04,76.87,67.38,44.49,90.56,84.91,67.23,44.98,38,30.31,74.58,67.99,68.08,99.95,109.21,123.29
2313203,Tamboril,0.384,0.425,0.526,0.579,0.715,0.779,0.063,0.188,0.476,87.15,112.89,211.64,63.13,49.14,31.03,84.07,73.61,49.31,94.86,89.67,72.76,73.66,64.66,44.56,90.81,86.01,66.67,96.94,94.53,87.65,38.76,25.39,33.43,53.52,49.49,60.5,67.56,72.91,105.06
2313252,Tarrafas,0.276,0.387,0.529,0.561,0.616,0.751,0.06,0.224,0.482,44.65,89,214.72,82.72,59.36,36.36,95.96,77.14,49.69,98.91,91.09,69.93,87.14,73.49,53.19,97.92,90.44,69.47,99.18,96.25,87.35,26.75,18.54,31.37,36.31,36.3,50.73,40.4,59.3,93.16
2313302,Tauá,0.442,0.522,0.585,0.637,0.735,0.773,0.137,0.283,0.56,125.18,206.21,305.42,57.59,33.82,20.19,80.06,61.8,41.03,90.71,81.72,65.43,67.22,46.74,30.54,85.57,76.58,59,93.37,89.89,82.62,36.83,37.41,33.26,53.25,65.78,69.85,69,95.51,117.44
2313351,Tejuçuoca,0.358,0.424,0.517,0.568,0.665,0.742,0.08,0.265,0.52,74.45,112.1,199.81,66.37,59.86,30.68,91.51,79.35,51.38,96.32,92.56,75.43,77.7,73.36,42.69,95.03,90.14,67.02,97.46,97.12,88.82,35.41,22.42,33.97,52.13,41.9,62.7,59.11,61.48,104.71
2313401,Tianguá,0.477,0.503,0.628,0.588,0.695,0.768,0.141,0.278,0.587,155.91,182.63,398.29,46.51,34.35,13.16,71.62,62.25,34.54,85.88,83.89,62.35,55.98,44.44,20.99,78.07,74.28,49.86,88.42,89.17,79.4,41.14,35.61,42.62,61.9,63.38,81.26,82.14,94.58,130.46
2313500,Trairi,0.391,0.438,0.522,0.619,0.722,0.739,0.102,0.235,0.577,91.41,122.12,205.89,60.14,51.42,32.4,84.14,74.71,53.07,95.24,88.94,76.17,71.13,64.2,42.71,90.72,85.91,66.25,96.94,94.32,86.39,37.55,32.93,31.45,54.71,53.39,60.09,69.52,73.85,100.48
2313559,Tururu,0.366,0.414,0.508,0.597,0.686,0.76,0.121,0.258,0.576,78.08,105.47,188.84,59.04,54.5,34.36,87.04,78.13,54.19,97.23,91.29,76.66,69.47,68.09,46.07,92.47,88.86,68.27,98.26,96.09,86.99,36.78,26.1,29,56.29,47.89,55.54,69.28,67.28,97.67
2313609,Ubajara,0.44,0.527,0.595,0.574,0.701,0.769,0.143,0.271,0.594,123.67,213.07,325.13,50.36,25.91,14.77,75.77,57.89,36.4,87.7,82.01,63.62,61.23,36.8,21.51,80.98,71.24,51.72,90.68,88.71,79.35,43.25,43.74,37.62,61.87,75.65,80.51,78.43,105.95,129.08
2313708,Umari,0.331,0.444,0.535,0.503,0.637,0.778,0.112,0.26,0.497,62.65,126.74,223.62,76.48,56.31,30.53,90.89,73.59,50.85,97.72,87.14,75.19,85.89,75.85,46.49,94.25,88.38,73.34,99.09,95.88,92.33,27.74,21.85,34.72,38.25,39.26,62.38,48.96,61.06,105.94
2313757,Umirim,0.391,0.432,0.514,0.493,0.616,0.751,0.108,0.231,0.524,91.43,117.49,195.42,58.46,49.5,32.4,88.14,75.36,52.27,96.49,89.51,79.01,71.72,64.3,44.27,93.44,86.81,68.72,98.45,96.34,90.69,38.07,26.7,32.47,58,52.36,60.81,68.85,72.8,106.38
2313807,Uruburetama,0.442,0.471,0.564,0.597,0.685,0.76,0.154,0.294,0.608,125.41,150.06,267.47,43.65,32.78,18.78,76.38,65.59,41.37,90.49,85.82,72.38,56.04,45.1,25.55,86.11,78.21,55.54,95.1,91.61,85.84,45.45,42.81,36.21,68.69,70.46,73.88,87.01,97.08,125.43
2313906,Uruoca,0.378,0.424,0.503,0.58,0.682,0.745,0.059,0.212,0.485,83.91,112.11,182.85,58.51,54.57,34.17,86.63,77.28,56.79,95.61,90.82,78.85,72.84,69.61,45.64,93.82,90.44,73.26,97.53,96.81,91.43,39.18,29.59,32.86,57.83,49.2,60.99,69.23,68.75,98.68
2313955,Varjota,0.45,0.499,0.575,0.63,0.695,0.728,0.153,0.279,0.545,131.22,178.04,286.41,49.4,35.51,18.45,78.17,62.43,40.41,92.17,80.28,66.15,61.39,51.28,27.04,84.93,77.34,57.54,94.88,89.39,80.43,40.94,37.02,40.93,62.17,64.49,75.26,80.28,91.2,122.91
2314003,Várzea Alegre,0.381,0.484,0.569,0.579,0.69,0.759,0.131,0.296,0.576,85.75,162.42,276.17,66.54,39.82,25.16,85.38,63.44,42.91,94.53,81.21,63.98,77.29,52.04,38.25,91.23,76.81,63.87,96.16,89.81,83.46,29.65,25.26,37.23,44.57,53.37,65.26,58.62,81.84,107.32
2314102,Viçosa do Ceará,0.385,0.425,0.521,0.578,0.693,0.753,0.058,0.171,0.475,88.06,112.79,204.23,64.73,58.59,36.84,87.7,78.47,57.51,95.1,90.78,79.99,74.69,71.91,49.3,92.67,89.09,73.69,97.08,96.1,91.89,37.61,30.32,33.12,52.27,47.63,57.8,62.25,66.06,96.83
