Código,Espacialidades,IDHM Renda 1991,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 1991,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 1991,IDHM Educação 2000,IDHM Educação 2010,Renda per capita 1991,Renda per capita 2000,Renda per capita 2010,% de extremamente pobres 1991,% de extremamente pobres 2000,% de extremamente pobres 2010,% de pobres 1991,% de pobres 2000,% de pobres 2010,% de vulneráveis à pobreza 1991,% de vulneráveis à pobreza 2000,% de vulneráveis à pobreza 2010,% de crianças extremamente pobres 1991,% de crianças extremamente pobres 2000,% de crianças extremamente pobres 2010,% de crianças pobres 1991,% de crianças pobres 2000,% de crianças pobres 2010,% de crianças vulneráveis à pobreza 1991,% de crianças vulneráveis à pobreza 2000,% de crianças vulneráveis à pobreza 2010,Renda per capita dos extremamente pobres 1991,Renda per capita dos extremamente pobres 2000,Renda per capita dos extremamente pobres 2010,Renda per capita dos pobres 1991,Renda per capita dos pobres 2000,Renda per capita dos pobres 2010,Renda per capita dos vulneráveis à pobreza 1991,Renda per capita dos vulneráveis à pobreza 2000,Renda per capita dos vulneráveis à pobreza 2010
2303105,Cariré,0.412,0.452,0.537,0.572,0.7,0.749,0.083,0.228,0.526,103.96,133.29,225.75,55.76,46.91,28.47,85.94,71.72,49.87,96.15,89.17,72.04,72.13,64.58,41.37,93.73,87.02,68.97,97.53,96.54,87.26,38.38,28.72,35,58.65,53.14,64.67,71.18,78.19,104.36
2303204,Caririaçu,0.365,0.438,0.549,0.503,0.619,0.73,0.08,0.222,0.483,77.46,122.43,243.1,66.41,51.96,21.83,85.98,71.53,45.21,95.9,89.53,69.23,77.45,69.02,28.61,91.84,87.06,58.37,97.24,96.19,81.94,31.89,30.03,33.46,47.38,49.11,68.29,60.99,76.69,113.6
2303303,Cariús,0.408,0.448,0.546,0.623,0.725,0.751,0.069,0.259,0.519,101.3,130.21,239.39,62.84,46.15,28.7,84.56,67.62,44.85,94.12,87.14,67.79,73.29,61.64,42.2,89.55,82.37,63.38,96.25,93.89,86.74,28.49,18.4,28.24,45.43,44.39,57.64,59.31,75,106.02
2303402,Carnaubal,0.38,0.472,0.536,0.545,0.629,0.76,0.075,0.247,0.513,85.05,151.19,224.37,62.87,49.41,27.18,85.54,70.96,49.64,94.66,85.94,73.86,71.54,65.14,37.18,89.76,84.54,63.34,96.13,92.33,86.26,32.6,28.9,36.76,49.32,50.25,66.39,62.79,74.25,109.13
2303501,Cascavel,0.443,0.539,0.587,0.609,0.735,0.793,0.119,0.302,0.578,125.67,228.76,309.14,42.87,29.03,12.08,75.5,56.86,31.25,91.87,82.06,60.09,55.34,40.57,17.89,83.5,71.76,44.58,94.22,90.59,75.29,42.47,32.54,33.44,67.14,65.78,78.99,87.18,103.21,135.79
2303600,Catarina,0.439,0.416,0.551,0.574,0.629,0.764,0.075,0.267,0.56,122.72,106.26,246.38,41.12,53.22,21.25,76.02,75.91,42.19,91.96,90.95,71.73,45.47,62.91,31.89,81.41,83.65,56.7,94.19,95.26,83.85,46.75,25.9,33.91,68.55,48.29,70.58,89.49,70.48,122.11
2303659,Catunda,0.356,0.418,0.537,0.579,0.692,0.717,0.075,0.269,0.587,73.11,107.87,225.43,68.02,49.77,27.33,84.71,73.79,48.19,97.27,90.5,75.83,78.25,64.39,38.46,91.14,85.84,63.63,98.51,94.88,87.42,31.81,28.24,33.11,43.71,52.06,64.7,60.88,76.26,113.8
2303709,Caucaia,0.507,0.56,0.62,0.632,0.764,0.808,0.217,0.4,0.632,187.29,260.56,379.63,26.84,20.38,6.53,59.5,46.89,22.82,82.08,73.31,51.67,35.48,28.29,10.17,68.54,57.76,34.71,88.03,81.59,67.99,45.23,40.75,34.52,75.42,75.39,87.75,106.18,115.93,150.37
2303808,Cedro,0.491,0.508,0.592,0.579,0.663,0.753,0.183,0.314,0.553,170.15,189,317.69,56.94,34.58,23.13,78.33,60.24,39.13,90.78,81.55,62.81,67.82,50.39,36.28,86.16,77.02,57.44,95.53,90.53,79.98,36.35,34.11,36.12,52.06,62.71,65.75,70.09,96.22,117.65
2303907,Chaval,0.388,0.456,0.524,0.493,0.597,0.716,0.108,0.232,0.536,89.58,136.43,208.7,61.55,51.8,23.66,88.92,75.2,49.91,96.15,90.78,74.23,72.94,65.03,32.64,93.43,83.65,66.52,97.77,94.5,86.59,37.57,31.17,32.49,56.52,51.16,67.51,66.17,73.63,109.27
2303931,Choró,0.371,0.409,0.493,0.522,0.647,0.778,0.077,0.208,0.523,80.65,102.17,171.62,66.61,56.32,41.75,87.93,78.74,60.78,96.05,92.64,79,75.49,70.26,54,93.5,89.14,74.84,97.43,96.45,91.27,32.08,25.9,28.43,46.55,46.4,52.32,57.66,66.82,84.79
2303956,Chorozinho,0.442,0.483,0.57,0.566,0.665,0.742,0.065,0.26,0.522,125.16,162.08,277.4,35.07,33.98,17.2,72.94,63.76,36.15,90.7,87.32,66.03,43.43,45.99,23.32,81.8,76.43,50.44,93.75,94.41,80.88,47.09,39.22,33.1,73.71,67.54,72.04,93.25,98.72,129.18
2304004,Coreaú,0.427,0.444,0.526,0.62,0.68,0.758,0.104,0.221,0.568,114.08,126.82,210.65,51.32,45.01,30.29,79.59,72.54,47.57,94.21,88.62,74.62,65.57,61.74,42.8,88.81,87.36,63.2,97.24,96.27,87.18,40.32,35.58,35.53,60.43,60.84,61.5,78.41,83.53,110.69
2304103,Crateús,0.478,0.546,0.618,0.617,0.732,0.787,0.158,0.319,0.55,156.33,239.4,373.18,42.63,29.7,19.44,71.45,56.35,37.07,87.14,77.7,61.12,54.67,42,29.77,78.88,70.48,53.9,89.89,86.96,77.41,39.79,36.47,30.39,63.79,65.89,66.04,85.47,99.04,118.44
2304202,Crato,0.533,0.599,0.655,0.613,0.714,0.822,0.267,0.449,0.673,221.16,333.37,470.46,38.42,23.12,8.61,65.85,48.05,24.54,81.81,70.67,50.89,49.76,34.07,13.69,74.86,63.2,38.05,86.89,80.87,68.49,40.6,36.89,37.58,65.66,70.05,82.58,89.34,107.35,141.44
2304236,Croatá,0.344,0.415,0.497,0.527,0.618,0.76,0.054,0.2,0.544,67.88,105.62,176.12,71.16,57.47,41.08,90.5,80.04,58.91,97.2,92.44,79.3,80.07,70.21,55.34,92.87,89.32,75.64,98,96.98,92.21,36.3,28.47,28.59,48.68,47.26,51.61,57.03,64.52,88.8
2304251,Cruz,0.437,0.464,0.573,0.578,0.709,0.752,0.076,0.251,0.586,121.4,143.41,282.51,35.33,42.79,24.71,72.84,70,46.29,92.85,88.26,67.89,45.93,58.31,35.82,82.08,85.26,65.8,95.99,95.11,83.04,44.26,33.23,33.03,71.39,58.91,66.58,94.35,84.27,108.57
2304269,Deputado Irapuan Pinheiro,0.41,0.491,0.542,0.532,0.618,0.742,0.084,0.299,0.562,102.57,170.34,233.15,58.79,39.77,29.11,85.01,63.62,45.38,94.09,83.19,64.99,67.79,54.86,44.15,89.85,78.18,63.25,95.22,91.9,81.36,31.67,31.67,32.18,52.58,56.96,58.68,64.82,88.16,102.61
2304277,Ererê,0.415,0.482,0.551,0.6,0.689,0.754,0.099,0.245,0.547,105.68,160.16,246.27,71.47,39.05,20.15,87.29,61.76,39.25,94.15,80.93,65.65,80.8,55.95,29.67,91.27,77.59,54.88,95.64,90.5,82.64,32.01,32.57,36.78,43.06,55.75,69.99,52.54,87.56,121.61
2304285,Eusébio,0.516,0.534,0.7,0.577,0.708,0.794,0.18,0.344,0.621,198.87,221.43,623.01,33.38,24.01,5.6,64.64,54.72,22.03,85.54,80.19,49.32,44.35,30.69,8.78,76.33,65.36,33.92,91.86,87.05,65.29,44.75,29.1,35.52,71.06,67.4,91.9,97.63,104.33,152.22
2304301,Farias Brito,0.41,0.463,0.541,0.503,0.637,0.774,0.142,0.302,0.605,102.52,142.4,231.88,60.79,44.11,30.83,82.05,67.28,48.78,92.72,84.73,70.27,71.72,60,45.41,88.14,81.78,67.04,96.65,90.8,85.73,29.96,29.55,30.95,47.96,53.03,57.59,63.82,80.42,102.41
2304350,Forquilha,0.437,0.506,0.583,0.594,0.701,0.76,0.119,0.282,0.602,121.27,187.02,300.9,45.27,34.9,11.42,77.41,58.42,29.57,90.5,82.94,59.2,57.54,47.44,17.84,87.15,72.9,41.5,94.51,91.03,73.46,44.82,32.56,39.61,66.19,59.56,82.72,83.09,96.42,140.59
2304400,Fortaleza,0.65,0.697,0.749,0.683,0.744,0.824,0.367,0.534,0.695,457.04,610.48,846.36,15.25,9.02,3.36,38.97,27.54,12.14,61.62,51.74,32.88,22.24,14.69,5.73,49.19,39.86,21.32,70.06,65.09,49.93,46.31,44.26,39.42,80.26,83.99,91.58,120.3,133.92,160.97
2304459,Fortim,0.414,0.523,0.562,0.548,0.65,0.734,0.093,0.326,0.588,105.32,207.52,264.14,44.38,37.83,19.95,83.88,63.5,39.33,94.8,84.38,67.94,57.05,50.34,26.34,89.39,75.96,52.23,96.65,90.44,79.53,41.22,37.27,31.08,68.22,63.57,68.67,80.91,91.93,125.1
