Código,Espacialidades,Taxa de atividade - 10 anos ou mais 1991,Taxa de atividade - 10 anos ou mais 2000,Taxa de atividade - 10 anos ou mais 2010,Taxa de atividade - 10 a 14 anos 1991,Taxa de atividade - 10 a 14 anos 2000,Taxa de atividade - 10 a 14 anos 2010,Taxa de atividade - 15 a 17 anos 1991,Taxa de atividade - 15 a 17 anos 2000,Taxa de atividade - 15 a 17 anos 2010,Taxa de atividade - 18 anos ou mais 1991,Taxa de atividade - 18 anos ou mais 2000,Taxa de atividade - 18 anos ou mais 2010,Taxa de atividade - 18 a 24 anos 1991,Taxa de atividade - 18 a 24 anos 2000,Taxa de atividade - 18 a 24 anos 2010,Taxa de atividade - 25 a 29 anos 1991,Taxa de atividade - 25 a 29 anos 2000,Taxa de atividade - 25 a 29 anos 2010,Taxa de desocupação - 10 anos ou mais 1991,Taxa de desocupação - 10 anos ou mais 2000,Taxa de desocupação - 10 anos ou mais 2010,Taxa de desocupação - 10 a 14 anos 1991,Taxa de desocupação - 10 a 14 anos 2000,Taxa de desocupação - 10 a 14 anos 2010,Taxa de desocupação - 15 a 17 anos 1991,Taxa de desocupação - 15 a 17 anos 2000,Taxa de desocupação - 15 a 17 anos 2010,Taxa de desocupação - 18 anos ou mais 1991,Taxa de desocupação - 18 anos ou mais 2000,Taxa de desocupação - 18 anos ou mais 2010,Taxa de desocupação - 18 a 24 anos 1991,Taxa de desocupação - 18 a 24 anos 2000,Taxa de desocupação - 18 a 24 anos 2010,Taxa de desocupação - 25 a 29 anos 1991,Taxa de desocupação - 25 a 29 anos 2000,Taxa de desocupação - 25 a 29 anos 2010,% de empregados com carteira - 18 anos ou mais 1991,% de empregados com carteira - 18 anos ou mais 2000,% de empregados com carteira - 18 anos ou mais 2010,% de empregados sem carteira - 18 anos ou mais 1991,% de empregados sem carteira - 18 anos ou mais 2000,% de empregados sem carteira - 18 anos ou mais 2010,% de trabalhadores do setor público - 18 anos ou mais 1991,% de trabalhadores do setor público - 18 anos ou mais 2000,% de trabalhadores do setor público - 18 anos ou mais 2010,% de trabalhadores por conta própria - 18 anos ou mais 1991,% de trabalhadores por conta própria - 18 anos ou mais 2000,% de trabalhadores por conta própria - 18 anos ou mais 2010,% de empregadores - 18 anos ou mais 1991,% de empregadores - 18 anos ou mais 2000,% de empregadores - 18 anos ou mais 2010,Grau de formalização dos ocupados - 18 anos ou mais 1991,Grau de formalização dos ocupados - 18 anos ou mais 2000,Grau de formalização dos ocupados - 18 anos ou mais 2010,% dos ocupados com fundamental completo - 18 anos ou mais 1991,% dos ocupados com fundamental completo - 18 anos ou mais 2000,% dos ocupados com fundamental completo - 18 anos ou mais 2010,% dos ocupados com médio completo - 18 anos ou mais 1991,% dos ocupados com médio completo - 18 anos ou mais 2000,% dos ocupados com médio completo - 18 anos ou mais 2010,% dos ocupados com superior completo - 18 anos ou mais 1991,% dos ocupados com superior completo - 18 anos ou mais 2000,% dos ocupados com superior completo - 18 anos ou mais 2010,% dos ocupados no setor agropecuário - 18 anos ou mais 1991,% dos ocupados no setor agropecuário - 18 anos ou mais 2000,% dos ocupados no setor agropecuário - 18 anos ou mais 2010,% dos ocupados no setor extrativo mineral - 18 anos ou mais 1991,% dos ocupados no setor extrativo mineral - 18 anos ou mais 2000,% dos ocupados no setor extrativo mineral - 18 anos ou mais 2010,% dos ocupados na indústria de transformação - 18 anos ou mais 1991,% dos ocupados na indústria de transformação - 18 anos ou mais 2000,% dos ocupados na indústria de transformação - 18 anos ou mais 2010,% dos ocupados no SIUP - 18 anos ou mais 1991,% dos ocupados no SIUP - 18 anos ou mais 2000,% dos ocupados no SIUP - 18 anos ou mais 2010,% dos ocupados no setor de construção - 18 anos ou mais 1991,% dos ocupados no setor de construção - 18 anos ou mais 2000,% dos ocupados no setor de construção - 18 anos ou mais 2010,% dos ocupados no setor comércio - 18 anos ou mais 1991,% dos ocupados no setor comércio - 18 anos ou mais 2000,% dos ocupados no setor comércio - 18 anos ou mais 2010,% dos ocupados no setor serviços - 18 anos ou mais 1991,% dos ocupados no setor serviços - 18 anos ou mais 2000,% dos ocupados no setor serviços - 18 anos ou mais 2010,Rendimento médio dos ocupados - 18 anos ou mais 1991,Rendimento médio dos ocupados - 18 anos ou mais 2000,Rendimento médio dos ocupados - 18 anos ou mais 2010,% dos ocupados sem rendimento - 18 anos ou mais 1991,% dos ocupados sem rendimento - 18 anos ou mais 2000,% dos ocupados sem rendimento - 18 anos ou mais 2010,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais 2010,Índice de Theil-L dos rendimentos do trabalho - 18 anos ou mais 1991,Índice de Theil-L dos rendimentos do trabalho - 18 anos ou mais 2000,Índice de Theil-L dos rendimentos do trabalho - 18 anos ou mais 2010
2304400,Fortaleza,,54.76,58.33,,4.71,5.04,,27.64,22.22,,65.43,67.39,,66.92,65.77,,77.34,78.45,,17.37,8.12,,35.22,18.92,,46.77,29.24,,15.91,7.49,,29.42,17.27,,16.43,8.67,,41.69,49.19,,23.61,22.39,,5.78,4.85,,24.59,20.83,,2.99,1.83,,53.25,59.1,,57.17,72.03,,39.76,53.78,,9.82,14.79,,0.95,0.8,,0.12,0.14,,15.41,13.8,,0.58,0.98,,7.33,6.23,,19.43,20.23,,53.74,51.55,,,1356.23,,1.4,1.35,,47.24,17.87,,73.84,72.41,,80.62,81.97,,89.31,89.51,,0.66,0.56
2304459,Fortim,,49.99,46.43,,13.87,6.78,,34.43,20.97,,59.25,54.85,,62.4,52.97,,75.78,69.67,,19.56,10.35,,65.2,4.96,,44.72,24.5,,15.56,9.9,,31.72,24.78,,19.09,10,,10.46,11.62,,38.66,44.26,,3.06,3.55,,40.66,21.5,,1.02,0.8,,16.73,18.39,,21.36,45.74,,12.52,27.85,,2.16,5.01,,44.98,40.27,,0.35,0.42,,12.03,5.2,,,0.8,,6.88,5.42,,5.66,10.98,,28.96,34.35,,,441.2,,6.14,19.23,,82.51,58.79,,93.39,93.69,,95.89,96.76,,99.33,98.64,,0.88,0.44
2304509,Frecheirinha,,44.59,48.18,,9.68,8.26,,44.38,33.34,,52.21,57.64,,61.83,64.42,,65.63,68.76,,13.94,5.09,,17.85,11.91,,30.11,12.21,,12.1,4.44,,19.98,6.66,,14.05,6.45,,10.88,16.24,,35.14,44.01,,10.27,3.11,,25.71,16.39,,1.11,1.11,,23.03,22.26,,25.53,43.79,,14.81,29.14,,3.97,7.7,,33.23,34.71,,3.8,,,12.92,15.47,,0.13,0.96,,6.31,6.19,,10.69,11.53,,32.09,28.18,,,394.46,,16.89,22.48,,86.64,67.91,,94.84,92.79,,96.42,96.44,,98.26,98.47,,0.5,0.42
2304608,General Sampaio,,40.23,44.22,,9.08,5.32,,33.6,21.38,,49.03,54.73,,48.2,51.86,,63.9,63.83,,20.8,7.76,,27.93,,,40.56,13.76,,18.85,7.65,,32.62,16.35,,41.9,10.4,,19.31,14.98,,15.79,41.01,,12.25,1.15,,45.05,36.66,,0.94,,,34.1,18.3,,20.64,30.58,,10.43,17.48,,2.96,4.83,,39.98,34.51,,,,,4.07,3.94,,,1.45,,5.28,8.8,,3.31,10.53,,46.63,39.22,,,416.23,,6.65,8.41,,89,66.03,,94.77,94.97,,96.31,97.7,,99.38,98.75,,0.44,0.45
2304657,Graça,,46.13,33.4,,22.61,6.51,,47.16,14.51,,52.3,41.25,,58.29,43.19,,59.48,55.89,,7.89,7.79,,19.68,8.68,,10.24,2.55,,6.2,7.99,,11.13,12.83,,6.08,6.88,,6.24,10.76,,21.78,41.84,,4.89,2.59,,24.95,14.79,,0.22,1.21,,11.48,15.78,,11.2,38.08,,3.68,27.4,,0.52,8.08,,56.61,40.62,,,0.14,,7.13,3.48,,,1.03,,3.33,5.1,,5.91,8.63,,27.02,38.98,,,342.86,,41.91,32.92,,92,74.46,,97.31,91.84,,98.77,97.43,,99.79,99.14,,0.44,0.53
2304707,Granja,,53.71,41.82,,21.6,12.3,,45.81,25.92,,62.02,49.95,,64.34,47.06,,69.83,54.82,,7.71,6.77,,13.26,1.72,,14.6,6.17,,6.64,7.08,,12.13,13.23,,8.57,7.65,,3.83,10.62,,35.68,41.1,,1.55,2.06,,31.87,21.21,,1.32,0.39,,6.58,14.55,,11.12,31.28,,6.31,19.91,,1.72,6.5,,55.33,55.36,,0.14,,,9.04,3.81,,0.31,1.06,,4.85,5.85,,6.66,6.93,,23.07,22.95,,,294.83,,25.89,40.69,,92.18,77.82,,97.66,94.89,,98.21,97.44,,99.34,98.71,,0.5,0.61
2304806,Granjeiro,,38.96,53.1,,16.89,14.9,,35.18,37.92,,45.15,61.47,,45.91,59.39,,47.04,68.66,,13.13,5.43,,11.45,6.77,,8.61,5.34,,13.88,5.38,,13.21,11.61,,21.1,5.02,,7.46,16.41,,29.02,35.15,,11.21,1.09,,11.19,18.04,,0.61,0.83,,20.13,18.21,,24.53,40.39,,11.05,24.41,,4.39,2.52,,45.55,37.99,,,,,6.02,5.27,,0.3,0.79,,3.5,9.64,,2.93,10.99,,40.95,35.33,,,318.22,,41.89,28.48,,90.4,76.71,,96.88,95.64,,98.63,97.97,,99.21,99.01,,0.37,0.52
2304905,Groaíras,,57.48,53.53,,22.3,13.32,,45.06,32.67,,65.79,61.51,,73,67.2,,80.25,82.25,,11.97,5.48,,29.07,3.34,,29.13,17.79,,9.53,4.92,,21.01,8.87,,8.6,7.71,,10.92,24.86,,22.26,29.19,,5.9,1.65,,27.17,30.48,,,0.5,,18.66,33.43,,17.19,49.1,,10.89,30.09,,2.33,5.14,,44.28,36.97,,0.35,,,6.75,15.95,,0.15,0.98,,4.58,3.84,,11.9,11.41,,31.44,27.33,,,426.33,,33.75,14.35,,86.16,57.3,,95.88,92.32,,98.3,96.43,,99.47,99.16,,0.52,0.43
2304954,Guaiúba,,44.51,46.14,,6.43,5.31,,25.36,20.31,,54.91,55.73,,54.93,50.7,,59.22,67.73,,10.46,9.32,,22.05,19.77,,23.25,21.74,,9.5,8.68,,15.3,22.43,,13.25,6.16,,25.46,27.43,,44.46,29.54,,1.69,3.86,,16.48,25.72,,0.3,0.17,,28.67,33.96,,19.94,45.02,,9.29,28.38,,0.33,4.28,,35.82,34.7,,,,,18.4,16.49,,1.75,0.54,,6.27,6.5,,7.41,9.15,,30.36,28.63,,,447.26,,12.59,14.74,,84.17,51.28,,95.77,95.04,,97.62,97.66,,99.65,99.04,,0.35,0.3
2305001,Guaraciaba do Norte,,49.1,54.42,,18.64,17.81,,44.84,39.38,,56.83,63.2,,57.96,65.73,,60.42,76.99,,5.9,4.88,,7.07,7.33,,15.93,8.37,,4.76,4.51,,8.44,7.31,,6.89,4.04,,9.3,14.6,,38.52,36.68,,2.83,1.65,,32.14,29.79,,2.66,0.92,,15.45,22.56,,14.81,37.53,,5.99,20.34,,1.71,3.9,,50.85,53.19,,0.08,,,6.43,3.33,,0.11,0.33,,4.38,4.7,,13.3,10.49,,24.79,24.77,,,372.85,,14.45,21.19,,86.24,77.45,,95.28,94.24,,97.04,97.05,,98.49,98.3,,0.54,0.52
2305100,Guaramiranga,,56.32,49.11,,19.79,1.82,,42.82,16.51,,65.49,61.42,,73.67,58.38,,72.08,74.99,,10.44,12.55,,21.78,100,,20.01,49.05,,8.97,10.98,,21.35,20.55,,5.91,12.76,,13.16,23.6,,55.2,56.9,,10.05,6.26,,16.57,9.65,,1.52,0.4,,26.99,32.45,,26.71,52.04,,11.91,33.98,,0.63,5.18,,37.83,21.29,,0.24,,,2.89,3.16,,0.11,0.46,,9.31,13.55,,7.42,5.92,,41.03,50.77,,,570.76,,3.73,6.2,,87.5,44.55,,97.41,93.31,,98.29,97.41,,99.31,98.39,,0.36,0.33
2305209,Hidrolândia,,42.1,42.65,,15.36,5.65,,26.8,18.43,,49.63,51.32,,55.96,53.34,,58.49,64.16,,8.37,5.59,,10.86,9.16,,5.89,23.57,,8.37,4.88,,16.93,9.77,,7.21,8.82,,10.37,13.96,,19.15,36.75,,7.54,6.72,,22.62,22.16,,1.02,1.1,,18.55,21.68,,17,37.79,,10.98,25.58,,1.95,5.6,,48.26,41.72,,,,,4.98,3.1,,0.53,0.63,,4.21,7.78,,8.76,11.5,,32.94,34.74,,,358.1,,39.65,20.77,,84.84,69.29,,95.22,93.07,,96.7,96.93,,98.54,98.61,,0.38,0.56
2305233,Horizonte,,51.17,53.94,,5.16,3.61,,40.8,18.56,,61.34,64.86,,70.55,72.38,,73.66,75.95,,17.14,9.53,,15.92,21.61,,29.05,21.74,,16.29,9.12,,25.7,14.96,,15.73,9.5,,38.53,58.41,,30.55,19.84,,6.76,4.27,,20.59,14.76,,0.8,0.64,,47.77,63.84,,24.34,61.35,,10.87,39.65,,1.27,4.01,,12.41,6.42,,,,,35.49,45.65,,0.21,0.79,,7.94,8.62,,8.96,9.6,,34.5,24.79,,,631.75,,3.41,2.8,,76.41,19.83,,93.69,90.51,,96.86,96.18,,98.52,98.32,,0.52,0.18
2305266,Ibaretama,,40.23,39.54,,7.22,9.8,,23.78,15.05,,49.89,48.03,,47.17,47.89,,54.68,54.27,,8.41,4.32,,10.63,7.56,,14.49,10.91,,7.96,3.96,,18.26,11.25,,7.09,7.05,,9.18,6.42,,28.42,34.5,,9.59,9.28,,26.84,18.79,,0.94,0.58,,20.6,16.7,,13.26,35.94,,6.71,20.99,,0.13,3.27,,62.3,55.61,,0.58,0.59,,5.2,3.8,,,1.24,,4.21,4.1,,4.97,5.9,,22.5,27.2,,,318.48,,25.17,32.05,,88.35,78.37,,97.01,94.19,,98.23,96.95,,99.6,99.15,,0.4,0.47
