Código,Espacialidades,Mortalidade infantil 1991,Mortalidade infantil 2000,Mortalidade infantil 2010,Taxa de fecundidade total 1991,Taxa de fecundidade total 2000,Taxa de fecundidade total 2010,Taxa de envelhecimento 1991,Taxa de envelhecimento 2000,Taxa de envelhecimento 2010
2308708,Morada Nova,48.45,36.88,25.1,3.96,2.85,2.09,5.77,7.06,9.24
2308807,Moraújo,70.75,52.13,23.3,4.18,3.62,2.29,6.02,6.98,7.51
2308906,Morrinhos,92.23,54.74,24.8,5.24,3.79,2.88,5.76,6.36,7.77
2309003,Mucambo,73.01,43.77,29.8,4.62,3.43,1.92,7.39,8.51,10.64
2309102,Mulungu,51.21,38.23,24.8,4.67,2.86,2.72,5.83,7.49,8.25
2309201,Nova Olinda,69.94,53.26,21.6,4.29,3.04,2.31,6.12,6.93,8.54
2309300,Nova Russas,67.39,49.65,25.7,3.59,3.33,2.14,7.08,9.06,10.57
2309409,Novo Oriente,65.92,49.65,24.2,3.66,3.31,2.26,5.11,6.84,8.91
2309458,Ocara,75.04,56.1,22.9,3.96,3.85,2.25,5.85,7.06,9.16
2309508,Orós,70.97,52.46,19.4,3.19,2.75,1.97,6.44,8.11,10.61
2309607,Pacajus,65.69,42.21,20.1,2.96,2.45,1.96,5.21,5.72,6.26
2309706,Pacatuba,53.16,34.53,21.6,3.9,3.11,1.93,2.98,3.81,4.69
2309805,Pacoti,53.57,36.88,22.5,4.82,3.32,1.95,6.06,7.94,8.51
2309904,Pacujá,66.78,43.53,27.4,3.91,3.17,2.39,7.63,9.23,10.02
2310001,Palhano,54.9,45.92,31.7,3.48,2.59,1.68,7.15,8.68,9.65
2310100,Palmácia,51.21,38.83,27.9,5.82,4.18,2.31,5.8,7.84,9.21
2310209,Paracuru,78.08,52.55,27.3,5.02,3.05,2.32,5.6,6.1,7.46
2310258,Paraipaba,66.21,38.22,28.8,4.3,3.16,2.5,4.4,5.55,7.2
2310308,Parambu,58.1,36.95,24,4.06,3.52,2.52,5.43,6.91,9.86
2310407,Paramoti,78.13,51.77,28.2,5.35,3.72,2.45,6.83,7.53,8.66
