"id","Nome","Localidade","1991","2000","2010","Unidade","Multiplicador"
"2309458","IDH","Ocara","0.278","0.434","0.594","",""
"2309508","IDH","Orós","0.366","0.465","0.636","",""
"2309607","IDH","Pacajus","0.355","0.508","0.659","",""
"2309706","IDH","Pacatuba","0.385","0.533","0.675","",""
"2309805","IDH","Pacoti","0.345","0.484","0.635","",""
"2309904","IDH","Pacujá","0.384","0.486","0.621","",""
"2310001","IDH","Palhano","0.310","0.492","0.638","",""
"2310100","IDH","Palmácia","0.352","0.497","0.622","",""
"2310209","IDH","Paracuru","0.340","0.457","0.637","",""
"2310258","IDH","Paraipaba","0.357","0.495","0.634","",""
"2310308","IDH","Parambu","0.304","0.387","0.570","",""
"2310407","IDH","Paramoti","0.231","0.405","0.583","",""
"2310506","IDH","Pedra Branca","0.247","0.420","0.603","",""
"2310605","IDH","Penaforte","0.401","0.530","0.646","",""
"2310704","IDH","Pentecoste","0.307","0.467","0.629","",""
"2310803","IDH","Pereiro","0.296","0.445","0.601","",""
"2310852","IDH","Pindoretama","0.318","0.493","0.636","",""
"2310902","IDH","Piquet Carneiro","0.292","0.427","0.600","",""
"2310951","IDH","Pires Ferreira","0.241","0.393","0.591","",""
"2311009","IDH","Poranga","0.199","0.401","0.581","",""
"2311108","IDH","Porteiras","0.296","0.477","0.622","",""
"2311207","IDH","Potengi","0.304","0.396","0.562","",""
"2311231","IDH","Potiretama","0.251","0.425","0.604","",""
"2311264","IDH","Quiterianópolis","0.240","0.405","0.594","",""
"2311306","IDH","Quixadá","0.383","0.524","0.659","",""
"2311355","IDH","Quixelô","0.258","0.367","0.591","",""
"2311405","IDH","Quixeramobim","0.356","0.482","0.642","",""
"2311504","IDH","Quixeré","0.330","0.475","0.622","",""
"2311603","IDH","Redenção","0.349","0.478","0.626","",""
"2311702","IDH","Reriutaba","0.298","0.454","0.601","",""
"2311801","IDH","Russas","0.398","0.527","0.674","",""
"2311900","IDH","Saboeiro","0.223","0.374","0.575","",""
"2311959","IDH","Salitre","0.189","0.326","0.540","",""
"2312007","IDH","Santana do Acaraú","0.314","0.431","0.587","",""
"2312106","IDH","Santana do Cariri","0.302","0.424","0.612","",""
"2312205","IDH","Santa Quitéria","0.281","0.431","0.616","",""
"2312304","IDH","São Benedito","0.289","0.433","0.611","",""
"2312403","IDH","São Gonçalo do Amarante","0.325","0.459","0.665","",""
"2312502","IDH","São João do Jaguaribe","0.399","0.523","0.654","",""
"2312601","IDH","São Luís do Curu","0.365","0.506","0.620","",""
"2312700","IDH","Senador Pompeu","0.371","0.487","0.619","",""
"2312809","IDH","Senador Sá","0.249","0.377","0.603","",""
"2312908","IDH","Sobral","0.406","0.537","0.714","",""
"2313005","IDH","Solonópole","0.309","0.454","0.625","",""
"2313104","IDH","Tabuleiro do Norte","0.362","0.522","0.645","",""
"2313203","IDH","Tamboril","0.241","0.385","0.580","",""
"2313252","IDH","Tarrafas","0.210","0.377","0.576","",""
"2313302","IDH","Tauá","0.338","0.477","0.633","",""
"2313351","IDH","Tejuçuoca","0.253","0.421","0.584","",""
"2313401","IDH","Tianguá","0.341","0.460","0.657","",""
"2313500","IDH","Trairi","0.291","0.420","0.606","",""
"2313559","IDH","Tururu","0.298","0.418","0.606","",""
"2313609","IDH","Ubajara","0.331","0.464","0.648","",""
"2313708","IDH","Umari","0.265","0.419","0.591","",""
"2313757","IDH","Umirim","0.275","0.395","0.587","",""
"2313807","IDH","Uruburetama","0.344","0.456","0.639","",""
"2313906","IDH","Uruoca","0.235","0.394","0.566","",""
"2313955","IDH","Varjota","0.351","0.459","0.611","",""
"2314003","IDH","Várzea Alegre","0.307","0.462","0.629","",""
"2314102","IDH","Viçosa do Ceará","0.235","0.369","0.571","",""
