Localidade,pib,id,log_pib
Jaguaruana,67285,2307007,4.827918
Jardim,31545,2307106,4.498931
Jati,9041,2307205,3.956216
Jijoca de Jericoacoa,19393,2307254,4.287645
Juazeiro do Norte,531172,2307304,5.725235
Jucás,31201,2307403,4.494169
Lavras da Mangabeira,44656,2307502,4.64988
Limoeiro do Norte,140637,2307601,5.1481
Madalena,24757,2307635,4.393698
Maracanaú,1406087,2307650,6.148012
Maranguape,224591,2307700,5.351392
Marco,38691,2307809,4.58761
Martinópole,11283,2307908,4.052425
Massapê,43489,2308005,4.638379
Mauriti,61836,2308104,4.791241
Meruoca,13543,2308203,4.131715
Milagres,38183,2308302,4.58187
Milhã,18428,2308351,4.265478
Miraíma,12908,2308377,4.110859
Missão Velha,43540,2308401,4.638888
Mombaça,55729,2308500,4.746081
Monsenhor Tabosa,22250,2308609,4.34733
Morada Nova,124938,2308708,5.096695
Moraújo,9796,2308807,3.991049
Morrinhos,22470,2308906,4.351603
Mucambo,18312,2309003,4.262736
Mulungu,14822,2309102,4.170907
Nova Olinda,20296,2309201,4.30741
Nova Russas,54196,2309300,4.733967
Novo Oriente,42931,2309409,4.632771
Ocara,30141,2309458,4.479158
Orós,38025,2309508,4.580069
Pacajus,255725,2309607,5.407773
Pacatuba,159459,2309706,5.202649
Pacoti,17649,2309805,4.24672
Pacujá,9089,2309904,3.958516
Palhano,11594,2310001,4.064233
Palmácia,14302,2310100,4.155397
Paracuru,74086,2310209,4.869736
Paraipaba,47992,2310258,4.681169
Parambu,44551,2310308,4.648857
Paramoti,13009,2310407,4.114244
Pedra Branca,49396,2310506,4.693692
Penaforte,9176,2310605,3.962653
Pentecoste,45579,2310704,4.658765
Pereiro,19323,2310803,4.286075
Pindoretama,25628,2310852,4.408715
Piquet Carneiro,17830,2310902,4.251151
Pires Ferreira,12763,2310951,4.105953
Poranga,15350,2311009,4.186108
Porteiras,18606,2311108,4.269653
Potengi,11145,2311207,4.04708
Potiretama,8971,2311231,3.952841
Quiterianópolis,26227,2311264,4.418749
Quixadá,154472,2311306,5.18885
Quixelô,34130,2311355,4.533136
Quixeramobim,120510,2311405,5.081023
Quixeré,61931,2311504,4.791908
Redenção,56605,2311603,4.752855
Reriutaba,31176,2311702,4.49382
Russas,144203,2311801,5.158974
Saboeiro,19447,2311900,4.288853
Salitre,21289,2311959,4.328155
Santana do Acaraú,41560,2312007,4.618676
Santana do Cariri,22764,2312106,4.357249
Santa Quitéria,88440,2312205,4.946649
São Benedito,63710,2312304,4.804208
São Gonçalo do Amara,62642,2312403,4.796866
São João do Jaguarib,16478,2312502,4.216904
São Luís do Curu,16424,2312601,4.215479
Senador Pompeu,39084,2312700,4.591999
Senador Sá,8976,2312809,3.953083
Sobral,845689,2312908,5.927211
Solonópole,33150,2313005,4.520484
Tabuleiro do Norte,49183,2313104,4.691815
Tamboril,33482,2313203,4.524811
Tarrafas,10521,2313252,4.022057
Tauá,88039,2313302,4.944675
Tejuçuoca,15190,2313351,4.181558
Tianguá,133449,2313401,5.125315
Trairi,88522,2313500,4.947051
Tururu,14121,2313559,4.149865
Ubajara,48477,2313609,4.685536
Umari,9463,2313708,3.976029
Umirim,22117,2313757,4.344726
Uruburetama,37817,2313807,4.577687
Uruoca,13828,2313906,4.140759
Varjota,25268,2313955,4.402571
Várzea Alegre,45795,2314003,4.660818
Viçosa do Ceará,54295,2314102,4.73476
